Account No,clv
104832000,
105375973,2405.004113743131
106601471,748.7939643284171
108481285,2135.1585605758746
108563213,1834.9326859990094
108812033,131.4811602647312
108931112,470.6462553750407
111137699,
113747882,2339.6440424092984
116169597,852.0562806320786
116598243,957.9596742405433
117273481,1842.7132799502813
117308635,2033.4833613875844
119943495,135.97587914810623
119993184,14.57694902036258
120634201,349.17438572390256
121113546,161.4387554625904
122884111,3.4702785778875875
124102251,958.8634998637647
124125096,96.21403861000248
126929801,598.207537924429
127809299,145.2847105112045
128030172,338.88560845252994
128033695,1549.8804359549654
129018172,945.252856762525
130154096,1537.6237852398683
130522384,167.9576128140616
131388684,967.6999199549992
133755851,169.88235457663436
134461671,893.8473554240458
134847904,740.7925360106374
135937041,137.93633793712223
137822385,289.51109542034385
138351025,
138609932,352.1160775272973
141521177,1536.134154746126
142791593,44.46826497854908
143003091,1355.7662956459476
143061865,428.9029627275152
143383029,292.02228086403477
143606916,
145387690,1594.7443122044797
146686559,359.4771380948829
146909202,1784.4661293366476
147341222,8.691031397748981
147474476,1086.8356945996213
147508204,295.91695160432914
149684419,
151916463,39.58108573894848
151968462,1468.414007849076
152488934,156.22758748649585
152616936,94.42206480654602
154246234,276.51420369897613
155317149,129.02234885073602
155867488,366.81328980738243
158414827,
158766229,25.32810228370997
162162212,264.3687444358059
162370388,135.97587914810623
163470640,217.6753184528897
165045150,273.811473590895
165098840,8.592570191764118
166019891,1055.0691246992646
168414279,126.3697219401264
169006407,1514.248436964022
169689461,2020.7484306113422
170233640,242.6957875747151
170637730,2432.1177880957543
172084472,26.32435687380224
173317688,127.76583573137076
173335108,169.68510831365754
176922958,934.6439390924323
179173981,1565.162743324921
180616589,630.0712052269944
180719578,135.97587914810623
183186021,
183546640,165.1098412370571
183888402,1955.666192828486
184430449,544.881430383404
187111705,1810.621499217933
187541224,1983.7936898097414
188263947,530.7660536075956
189335192,7.567066035762442
189757473,157.31910870734453
190874125,
191161970,135.97587914810623
192202372,553.2946754054517
194023154,
194745206,6.538909977383032
195895574,1736.1211815036474
196289502,1194.9970904097731
197050303,7.5176322400744215
197865285,
198051483,
198630866,255.55787671064786
198946608,1262.7482240189263
199016328,432.08376864192036
200080192,2706.4428744274337
202320275,135.97587914810623
203466392,1291.3114824470601
204855464,0.5575543718499335
208381936,185.93072818061972
212560376,641.2314359283005
213096759,184.57406282793013
213112754,2079.5446768018596
214339619,525.5920524757992
215311171,786.5858869807931
215404070,223.15228050079102
215426302,4.495409996671874
215832575,135.97587914810623
216285378,187.26816025402337
216286013,351.3933430857956
218795010,135.97587914810623
220183538,278.2941494639747
221356538,572.7539205048757
221868392,1318.3240189635683
224112146,137.04208080777767
224215364,211.02530712891848
224524792,0.6006684446408127
225210798,357.46369697726954
226703987,72.22651430623554
227104649,413.02789339920116
228136274,846.0321422669773
229205098,2367.0986774735015
229502829,12.479564083216406
233981231,551.7528687351302
235310449,0.05322562917676371
235663459,
235881534,1861.507957065825
237493332,1508.6820996410352
237684254,1371.3757736602236
240643705,431.1370694175141
241459011,990.996983666203
